Day,Task Title,Detailed Task Description,Estimated Hours,Priority,Tools Required,Output/Deliverable,Acceptance Criteria,Role,Blockers,Track


1,Market Research & Niche Selection (Etsy),Conduct in-depth research on Etsy for map art niches, identifying popular styles, unmet demands, and potential unique selling propositions. Analyze top-selling shops and their strategies.,3.0,High,Web Browser,Spreadsheet with 10 niche ideas & competitor analysis,Son,None,Etsy
1,TikTok Account Setup & Niche Definition,Create TikTok business account, optimize profile (bio, profile picture, link in bio), and define content niche based on affiliate product categories.,2.0,High,TikTok App,Optimized TikTok profile,Son,None,TikTok
1,Etsy Shop Setup (Basic),Register Etsy shop, choose shop name, set up shop sections, and basic policies (digital product focus).,2.0,High,Etsy,Live Etsy shop with basic setup,Son,None,Etsy
1,TikTok Content Strategy & Research,Research trending sounds, popular video formats, and affiliate products within chosen niche. Brainstorm 20-25 video ideas.,2.0,High,TikTok App,Spreadsheet with 25 video ideas, trending sounds, and formats,Son,None,TikTok


2,Etsy Product Design (Maps 1-3),Design three digital map products based on niche research. Focus on high-quality vector graphics and export settings.,4.0,High,Design Software (e.g., Adobe Illustrator),Three digital map design files,Son,None,Etsy
2,TikTok Video Scripting (Videos 1-5),Write scripts/captions for 5 TikTok videos, incorporating hooks, CTAs, and relevant hashtags for affiliate products.,3.0,High,Text Editor,5 TikTok video scripts,Son,None,TikTok
3,Etsy Product Mockups (Maps 1-3),Create 5 high-quality mockups for each of the first three map designs.,4.0,High,Design Software (e.g., Photoshop),15 product mockups (JPEG/PNG),Son,None,Etsy
3,TikTok Video Production (Videos 1-5),Film/edit 5 TikTok videos based on scripts. Focus on engaging visuals, trending sounds, and clear CTAs.,4.0,High,Video Editing Software (e.g., CapCut),5 edited TikTok videos (9:16),Son,None,TikTok
4,Etsy Listing Creation (Maps 1-3),Create three Etsy listings: upload design files, mockups, write titles, descriptions, and add 13 tags. Set pricing.,4.0,High,Etsy,Three Etsy listings published,Son,None,Etsy
4,TikTok Posting (Videos 1-5) & Analytics,Post 5 TikTok videos. Monitor initial engagement (views, likes, comments, shares).,2.0,High,TikTok App,Initial engagement data,Son,None,TikTok
5,Etsy Product Design (Maps 4-6),Design three more digital map products. Focus on variety in style or location.,4.0,High,Design Software,Three digital map design files,Son,None,Etsy
5,TikTok Video Scripting (Videos 6-10),Write scripts/captions for 5 more TikTok videos, experimenting with different hooks or product types.,3.0,High,Text Editor,5 TikTok video scripts,Son,None,TikTok


6,Etsy Product Mockups (Maps 4-6),Create 5 mockups for each of the new map designs.,4.0,High,Design Software,15 product mockups,Son,None,Etsy
6,TikTok Video Production (Videos 6-10),Film/edit 5 more TikTok videos.,4.0,High,Video Editing Software,5 edited TikTok videos,Son,None,TikTok
7,Etsy Listing Creation (Maps 4-6),Create three more Etsy listings for the new map designs.,4.0,High,Etsy,Three Etsy listings published,Son,None,Etsy
7,TikTok Posting (Videos 6-10) & Engagement,Post 5 TikTok videos. Engage with comments and analyze performance.,2.0,High,TikTok App,Engagement data,Son,None,TikTok
8,Etsy Product Design (Maps 7-9),Design three more digital map products.,4.0,Medium,Design Software,Three digital map design files,Son,None,Etsy
8,TikTok Video Scripting (Videos 11-15),Write scripts/captions for 5 more TikTok videos.,3.0,Medium,Text Editor,5 TikTok video scripts,Son,None,TikTok
9,Etsy Product Mockups (Maps 7-9),Create 5 mockups for each of the new map designs.,4.0,Medium,Design Software,15 product mockups,Son,None,Etsy
9,TikTok Video Production (Videos 11-15),Film/edit 5 more TikTok videos.,4.0,Medium,Video Editing Software,5 edited TikTok videos,Son,None,TikTok
10,Etsy Listing Creation (Maps 7-9),Create three more Etsy listings for the new map designs.,4.0,Medium,Etsy,Three Etsy listings published,Son,None,Etsy
10,TikTok Posting (Videos 11-15) & Optimization,Post 5 TikTok videos. Analyze which hooks/CTAs perform best.,2.0,Medium,TikTok App,Performance insights,Son,None,TikTok


11,Etsy SEO Optimization,Review Etsy listings for SEO. Update titles, tags, and descriptions based on initial performance and keyword research.,4.0,Medium,Etsy,Optimized Etsy listings,Son,None,Etsy
11,TikTok Content Calendar Planning,Plan content calendar for next 20 days (Videos 16-35), focusing on variety and trending topics.,3.0,Medium,Spreadsheet,20-day TikTok content calendar,Son,None,TikTok
