Day,Task Title,Detailed Task Description,Estimated Hours,Priority,Tools Required,Output/Deliverable,Acceptance Criteria,Role,Blockers,Track


1,Market Research & Niche Selection (Etsy),Conduct in-depth research on Etsy for map art niches, identifying popular styles, unmet demands, and potential unique selling propositions. Analyze top-selling shops and their strategies.,2.0,Etsy,Web Browser,Spreadsheet with 5 niche ideas & competitor analysis,Son,None,Etsy
1,TikTok Account Setup & Niche Definition,Create TikTok business account, optimize profile (bio, profile picture, link in bio), and define content niche based on affiliate product categories.,1.5,High,TikTok App,Optimized TikTok profile,Son,None,TikTok


2,Etsy Shop Setup (Basic),Register Etsy shop, choose shop name, set up shop sections, and basic policies (digital product focus).,2.0,High,Etsy,Live Etsy shop with basic setup,Son,None,Etsy
2,TikTok Content Strategy & Research,Research trending sounds, popular video formats, and affiliate products within chosen niche. Brainstorm 10-15 video ideas.,2.0,High,TikTok App,Spreadsheet with 15 video ideas, trending sounds, and formats,Son,None,TikTok


3,Etsy Product Design (Map 1),Design first digital map product based on niche research. Focus on high-quality vector graphics and export settings.,3.0,High,Design Software (e.g., Adobe Illustrator),First digital map design file (vector/high-res PNG),Son,None,Etsy
3,TikTok Video Scripting (Videos 1-3),Write scripts/captions for 3 TikTok videos, incorporating hooks, CTAs, and relevant hashtags for affiliate products.,2.0,High,Text Editor,3 TikTok video scripts,Son,None,TikTok


4,Etsy Product Mockups (Map 1),Create 5 high-quality mockups for the first map design, showcasing it in different settings (e.g., framed, on a wall).,2.0,High,Design Software (e.g., Photoshop),5 product mockups (JPEG/PNG),Son,None,Etsy
4,TikTok Video Production (Videos 1-3),Film/edit 3 TikTok videos based on scripts. Focus on engaging visuals, trending sounds, and clear CTAs.,3.0,High,Video Editing Software (e.g., CapCut),3 edited TikTok videos (9:16),Son,None,TikTok


5,Etsy Listing Creation (Map 1),Create first Etsy listing: upload design files, mockups, write title, description, and add 13 tags. Set pricing.,3.0,High,Etsy,First Etsy listing published,Son,None,Etsy
5,TikTok Posting (Videos 1-3) & Analytics,Post 3 TikTok videos. Monitor initial engagement (views, likes, comments, shares).,1.5,High,TikTok App,Initial engagement data,Son,None,TikTok


6,Etsy Product Design (Map 2 & 3),Design two more digital map products. Focus on variety in style or location.,3.0,High,Design Software,Two digital map design files,Son,None,Etsy
6,TikTok Video Scripting (Videos 4-6),Write scripts/captions for 3 more TikTok videos, experimenting with different hooks or product types.,2.0,High,Text Editor,3 TikTok video scripts,Son,None,TikTok
7,Etsy Product Mockups (Map 2 & 3),Create 5 mockups for each of the new map designs.,3.0,High,Design Software,10 product mockups,Son,None,Etsy
7,TikTok Video Production (Videos 4-6),Film/edit 3 more TikTok videos.,2.0,High,Video Editing Software,3 edited TikTok videos,Son,None,TikTok


8,Etsy Listing Creation (Map 2 & 3),Create two more Etsy listings for the new map designs.,3.0,High,Etsy,Two Etsy listings published,Son,None,Etsy
8,TikTok Posting (Videos 4-6) & Engagement,Post 3 TikTok videos. Engage with comments and analyze performance.,1.5,High,TikTok App,Engagement data,Son,None,TikTok
9,Etsy Product Design (Map 4 & 5),Design two more digital map products.,3.0,Medium,Design Software,Two digital map design files,Son,None,Etsy
9,TikTok Video Scripting (Videos 7-9),Write scripts/captions for 3 more TikTok videos.,2.0,Medium,Text Editor,3 TikTok video scripts,Son,None,TikTok
10,Etsy Product Mockups (Map 4 & 5),Create 5 mockups for each of the new map designs.,3.0,Medium,Design Software,10 product mockups,Son,None,Etsy
10,TikTok Video Production (Videos 7-9),Film/edit 3 more TikTok videos.,2.0,Medium,Video Editing Software,3 edited TikTok videos,Son,None,TikTok
11,Etsy Listing Creation (Map 4 & 5),Create two more Etsy listings for the new map designs.,3.0,Medium,Etsy,Two Etsy listings published,Son,None,Etsy
11,TikTok Posting (Videos 7-9) & Optimization,Post 3 TikTok videos. Analyze which hooks/CTAs perform best.,1.5,Medium,TikTok App,Performance insights,Son,None,TikTok
12,Etsy SEO Optimization,Review Etsy listings for SEO. Update titles, tags, and descriptions based on initial performance and keyword research.,3.0,Medium,Etsy,Optimized Etsy listings,Son,None,Etsy
12,TikTok Content Calendar Planning,Plan content calendar for next 15 days (Videos 10-24), focusing on variety and trending topics.,2.0,Medium,Spreadsheet,15-day TikTok content calendar,Son,None,TikTok
